"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Port Shelter","PM1","1988-08-04","1","Surface Water","1.3","2","<0.02","0.2","0.04","<0.005","0.04","101","6.6","8","2.5","8.4","28.7","28.7"
"Port Shelter","PM1","1988-08-04","1","Middle Water","0.9","1.5","<0.02","0.15","0.012","<0.005","0.02","85","5.6","2","3","8.4","28","30.7"
"Port Shelter","PM1","1988-08-04","1","Bottom Water","1.2","3.5","0.02","0.17","0.024","<0.005","0.03","46","3.1","1","5","8.3","26.4","32"
"Port Shelter","PM1","1988-09-05","1","Surface Water","0.2","<0.5","0.02","0.32","<0.005","<0.005","0.01","105","6.8","10","3.6","8.4","29","31.7"
"Port Shelter","PM1","1988-09-05","1","Middle Water","1.2","3.5","0.06","0.33","0.01","0.024","0.02","42","2.9","20","4.5","8.1","23.3","34.2"
"Port Shelter","PM1","1988-09-05","1","Bottom Water","1.2","2","0.06","0.32","0.024","0.028","0.04","34","2.4","1","4.5","8","22.3","34.3"
"Port Shelter","PM1","1988-10-03","1","Surface Water","0.5","3","0.02","0.61","0.033","<0.005","0.05","85","5.8","1","3.1","8","26.4","31.9"
"Port Shelter","PM1","1988-10-03","1","Middle Water","0.4","4","<0.02","0.58","0.04","<0.005","0.05","87","5.8","2","4.1","8.4","26.2","32"
"Port Shelter","PM1","1988-10-03","1","Bottom Water","0.4","3.5","<0.02","0.42","0.046","<0.005","0.06","83","5.6","4","2.6","8.4","26.1","31.9"
"Port Shelter","PM1","1988-11-14","1","Surface Water","0.2","3","0.02","0.41","0.044","0.018","0.13","84","6.2","1","3","8.2","20.6","31.4"
"Port Shelter","PM1","1988-11-14","1","Middle Water","0.2","2","0.03","0.36","0.039","0.013","0.13","85","6.3","1","3.9","8.3","20.6","31.4"
"Port Shelter","PM1","1988-11-14","1","Bottom Water","0.2","2","0.02","0.46","0.039","0.01","0.13","84","6.3","1","3.9","8.2","20.6","31.4"
"Port Shelter","PM1","1988-12-06","1","Surface Water","1.3","2.5","0.02","0.29","<0.005","<0.005","0.01","94","7.2","1","2.5","8.5","18.9","31.5"
"Port Shelter","PM1","1988-12-06","1","Middle Water","1","1.5","<0.02","0.34","<0.005","<0.005","0.01","92","7","2","2.5","8.5","18.9","31.5"
"Port Shelter","PM1","1988-12-06","1","Bottom Water","1.3","2","<0.02","0.37","0.006","<0.005","0.01","94","7.2","4","3","8.5","18.8","31.6"
"Port Shelter","PM1","1989-01-06","1","Surface Water","0.8","1.5","0.03","0.36","0.039","0.008","0.08","91","7.1","4","2.3","8.4","17.6","32"
"Port Shelter","PM1","1989-01-06","1","Middle Water","0.8","1.5","0.03","0.51","0.037","0.01","0.08","92","7.2","20","2","8.4","17.6","32"
"Port Shelter","PM1","1989-01-06","1","Bottom Water","0.8","1.5","0.02","0.3","0.029","0.007","0.07","93","7.3","16","2.7","8.4","17.6","32"
"Port Shelter","PM1","1989-02-02","1","Surface Water","0.8","2.5","0.02","0.27","0.009","0.009","0.06","97","8","2","5","8.3","15.6","N/A"
"Port Shelter","PM1","1989-02-02","1","Middle Water","0.8","1","0.03","0.23","0.007","0.007","0.06","98","8","1","3.4","8.3","15.6","N/A"
"Port Shelter","PM1","1989-02-02","1","Bottom Water","0.6","2","0.02","0.29","0.009","0.007","0.06","98","8","1","4.8","8.3","15.6","N/A"
"Port Shelter","PM1","1989-03-03","1","Surface Water","0.8","1","<0.02","0.34","0.044","0.009","0.06","96","7.7","18","1.8","8.4","16.7","32.1"
"Port Shelter","PM1","1989-03-03","1","Middle Water","0.5","0.5","0.02","0.29","0.023","0.009","0.03","100","8","2","1.4","8.4","16.2","32.1"
"Port Shelter","PM1","1989-03-03","1","Bottom Water","0.6","1","<0.02","0.27","0.005","<0.005","0.01","85","6.9","1","1.8","8.4","15.2","32.2"
"Port Shelter","PM1","1989-04-11","1","Surface Water","0.6","0.5","<0.02","0.22","0.023","0.006","0.03","93","6.9","2","2.7","8.3","20.6","32.3"
"Port Shelter","PM1","1989-04-11","1","Middle Water","0.5","1.5","<0.02","0.29","0.021","0.005","0.04","92","6.8","1","2.6","8.3","20.6","32.3"
"Port Shelter","PM1","1989-04-11","1","Bottom Water","0.2","1","0.02","0.22","0.021","0.02","0.03","82","6.2","2","2.9","8.3","19.9","33.4"
"Port Shelter","PM1","1989-05-05","1","Surface Water","1.1","1","0.03","0.31","0.06","0.019","0.14","86","6.2","32","4","8.3","22.6","28"
"Port Shelter","PM1","1989-05-05","1","Middle Water","0.4","<0.5","<0.02","0.17","0.024","0.009","0.04","85","6.2","6","4","8.3","22","32"
"Port Shelter","PM1","1989-05-05","1","Bottom Water","0.3","1","0.02","0.15","0.025","0.011","0.04","78","5.7","4","3.3","8.2","21.6","32.5"
"Port Shelter","PM1","1989-06-05","1","Surface Water","0.7","1","<0.02","0.17","0.013","0.005","0.02","96","7","2","5","8.3","23.6","30.9"
"Port Shelter","PM1","1989-06-05","1","Middle Water","1.7","2","<0.02","0.19","0.025","0.005","0.03","88","6.5","10","4.2","8.5","22.8","31.2"
"Port Shelter","PM1","1989-06-05","1","Bottom Water","0.9","1.5","0.05","0.28","0.009","0.008","0.01","76","5.8","2","5.3","8.4","22.4","32.1"
"Port Shelter","PM1","1989-07-07","1","Surface Water","1","2.5","0.04","0.16","0.005","0.007","0.01","107","6.6","1","4.1","8.4","31.1","31.7"
"Port Shelter","PM1","1989-07-07","1","Middle Water","0.9","1.5","0.08","0.22","0.016","0.034","0.03","72","4.8","1","4.4","8.4","25.7","33.3"
"Port Shelter","PM1","1989-07-07","1","Bottom Water","1.7","3","0.04","0.23","0.018","0.013","0.03","61","4.3","1","5.6","8.4","24.1","33.7"
"Port Shelter","PM1","1989-08-04","1","Surface Water","1.8","1","0.02","0.32","<0.005","0.014","0.01","119","7.8","1","2.1","8.8","26.6","32.4"
"Port Shelter","PM1","1989-08-04","1","Middle Water","1.3","<0.5","<0.02","0.24","<0.005","<0.005","0.01","95","6.6","1","1.5","8.7","24.7","33"
"Port Shelter","PM1","1989-08-04","1","Bottom Water","1.2","1.5","0.02","0.18","0.009","0.014","0.02","60","2.6","1","2.3","8.7","24.2","33.1"
"Port Shelter","PM1","1989-09-04","1","Surface Water","1.2","1.5","<0.02","0.11","0.018","0.014","0.03","93","5.8","1","1.7","8.7","31.1","31.5"
"Port Shelter","PM1","1989-09-04","1","Middle Water","1.7","2","0.02","0.2","0.021","0.011","0.03","66","4.3","1","2.7","8.6","28","33"
"Port Shelter","PM1","1989-09-04","1","Bottom Water","1.1","1.5","0.11","0.19","0.03","0.014","0.09","14","0.9","1","1.7","8.4","25.1","33.7"
"Port Shelter","PM1","1989-10-06","1","Surface Water","1.2","2","0.02","0.23","0.022","0.007","0.05","92","6","2","2.3","8.6","27.8","32"
"Port Shelter","PM1","1989-10-06","1","Middle Water","1.2","3","0.02","0.22","0.035","0.011","0.04","93","6.1","4","2.7","8.6","27.8","32"
"Port Shelter","PM1","1989-10-06","1","Bottom Water","1.3","4","0.03","0.25","0.012","0.01","0.03","60","3.8","1","2.1","8.6","27.6","32.4"
"Port Shelter","PM1","1989-11-03","1","Surface Water","1","4","0.04","0.63","0.006","<0.005","0.01","89","5.9","1","4.8","8.5","25.6","32.2"
"Port Shelter","PM1","1989-11-03","1","Middle Water","0.9","3.5","<0.02","0.68","0.015","<0.005","0.02","83","5.5","5","6.6","8.5","25.3","32.3"
"Port Shelter","PM1","1989-11-03","1","Bottom Water","0.8","4","0.02","0.64","<0.005","<0.005","0.01","74","5","1","5.9","8.5","25","32.4"
"Port Shelter","PM1","1989-12-04","1","Surface Water","0.9","1.5","0.03","0.26","<0.005","0.01","0.02","99","7.5","2","1.6","8.5","19.3","31.8"
"Port Shelter","PM1","1989-12-04","1","Middle Water","0.8","9.5","0.02","0.51","<0.005","0.008","0.03","91","6.8","1","2.5","8.5","19.1","31.8"
"Port Shelter","PM1","1989-12-04","1","Bottom Water","0.9","2","0.04","0.86","0.005","0.01","0.01","86","6.6","1","2.4","8.5","18.9","31.8"
"Port Shelter","PM1","1990-01-08","1","Surface Water","0.6","1.5","0.03","0.9","0.01","<0.005","0.04","97","7.8","2","2.8","8.3","20.6","33.2"
"Port Shelter","PM1","1990-01-08","1","Middle Water","1.1","25","0.04","0.94","0.019","0.005","0.05","94","7.6","4","2.3","8.4","20.5","33.2"
"Port Shelter","PM1","1990-01-08","1","Bottom Water","0.8","3.5","0.04","0.9","0.021","0.005","0.05","83","6.8","8","3","8.3","20.3","33.2"
"Port Shelter","PM1","1990-02-02","1","Surface Water","0.4","0.5","0.03","0.33","0.005","0.006","0.01","80","7.2","1","1.5","8.5","15.8","31.3"
"Port Shelter","PM1","1990-02-02","1","Middle Water","0.2","1.5","0.04","0.34","0.039","0.007","0.07","76","6.9","1","1.6","8.6","15.7","31.3"
"Port Shelter","PM1","1990-02-02","1","Bottom Water","0.3","1","0.04","0.3","0.006","<0.002","0.02","74","6.8","6","2.2","8.6","15.6","31.4"
"Port Shelter","PM1","1990-03-02","1","Surface Water","0.4","1.5","0.05","0.26","0.032","0.018","0.04","81","7.4","1","1.9","8.6","15.4","30.4"
"Port Shelter","PM1","1990-03-02","1","Middle Water","0.3","4.5","0.05","0.27","0.022","0.017","0.03","74","6.7","4","2.4","8.6","15.4","30.8"
"Port Shelter","PM1","1990-03-02","1","Bottom Water","0.6","2.5","0.06","0.45","0.16","0.032","0.18","74","6.8","8","2.6","8.7","15.3","31.1"
"Port Shelter","PM1","1990-04-06","1","Surface Water","0.5","1","0.02","0.48","0.036","0.002","0.05","76","6.4","100","2.9","8.3","19.1","29.7"
"Port Shelter","PM1","1990-04-06","1","Middle Water","0.6","1","0.04","0.35","0.043","<0.002","0.06","78","6.5","62","2.1","8.4","19","32.1"
"Port Shelter","PM1","1990-04-06","1","Bottom Water","0.4","1","0.04","0.38","0.037","<0.002","0.07","79","6.6","56","2","8.4","19","32.1"
"Port Shelter","PM1","1990-05-04","1","Surface Water","0.4","2","0.08","0.46","0.012","0.007","0.04","102","7.6","1","2.4","8.7","23.6","32.1"
"Port Shelter","PM1","1990-05-04","1","Middle Water","0.2","2.5","0.1","0.47","0.039","0.054","0.17","84","6.6","1","2.6","8.7","21.2","33"
"Port Shelter","PM1","1990-05-04","1","Bottom Water","0.2","2","0.04","0.39","0.037","0.007","0.06","83","6.7","1","2.3","8.6","20.5","33"
"Port Shelter","PM1","1990-06-08","1","Surface Water","0.8","1","0.02","0.53","0.032","<0.002","0.18","102","7.2","150","2.4","8.6","26.5","29.8"
"Port Shelter","PM1","1990-06-08","1","Middle Water","0.4","3","0.02","0.46","0.021","<0.002","0.05","91","6.5","1","1.6","8.6","26","32"
"Port Shelter","PM1","1990-06-08","1","Bottom Water","0.3","2","0.02","0.44","0.036","<0.002","0.09","79","5.7","1","2.5","8.6","25.5","32.5"
"Port Shelter","PM1","1990-07-03","1","Surface Water","0.8","2.5","0.02","0.75","0.018","<0.002","0.04","110","7.1","1","3","8.7","30.4","24.8"
"Port Shelter","PM1","1990-07-03","1","Middle Water","0.7","2.5","0.02","0.89","0.005","<0.002","0.07","63","4.5","1","3","8.6","26.2","31.8"
"Port Shelter","PM1","1990-07-03","1","Bottom Water","0.4","4","0.04","0.86","0.008","0.022","0.15","45","3.3","1","4.7","8.7","23.9","34.8"
"Port Shelter","PM1","1990-08-03","1","Surface Water","1","<0.5","0.05","0.31","0.027","<0.002","0.05","91","6.3","30","2.1","8.5","27.5","29.3"
"Port Shelter","PM1","1990-08-03","1","Middle Water","0.7","1","0.05","0.39","0.023","<0.002","0.06","60","4.3","1","2.1","8.3","25.8","32.4"
"Port Shelter","PM1","1990-08-03","1","Bottom Water","0.3","4","0.05","0.6","0.027","0.007","0.1","62","4.4","1","4.6","8.3","25.5","32.6"
"Port Shelter","PM1","1990-09-03","1","Surface Water","0.8","1","0.08","0.46","0.009","0.002","0.02","102","6.8","4","2.2","8.4","28.9","32.4"
"Port Shelter","PM1","1990-09-03","1","Middle Water","0.7","0.5","0.07","0.61","<0.005","<0.002","0.01","111","7.4","1","2.4","8.5","28.9","32.5"
"Port Shelter","PM1","1990-09-03","1","Bottom Water","0.8","1","0.12","0.68","0.052","0.026","0.06","77","5.3","2","2.2","8.5","27.5","33.1"
"Port Shelter","PM1","1990-10-05","1","Surface Water","0.7","<0.5","0.04","0.39","0.011","0.007","0.04","80","5.4","60","3.2","8.3","28.8","30.1"
"Port Shelter","PM1","1990-10-05","1","Middle Water","0.5","1","0.04","0.45","0.009","<0.002","0.02","85","5.7","20","3","8.4","28.5","30.6"
"Port Shelter","PM1","1990-10-05","1","Bottom Water","0.5","0.5","0.03","0.52","0.009","<0.002","0.02","83","5.6","7","1.6","8.4","28.4","31.5"
"Port Shelter","PM1","1990-11-06","1","Surface Water","0.6","8.5","0.02","0.5","0.014","0.011","0.02","100","7.3","1","5.9","8.5","25","31.8"
"Port Shelter","PM1","1990-11-06","1","Middle Water","0.5","11","0.03","0.57","0.006","0.009","0.01","97","7.1","3","5.3","8.5","24.9","32"
"Port Shelter","PM1","1990-11-06","1","Bottom Water","0.4","4.5","0.02","0.5","0.017","0.009","0.03","95","6.9","2","5.3","8.5","24.8","32.1"
"Port Shelter","PM1","1990-12-03","1","Surface Water","0.8","1.5","0.06","0.28","0.044","0.003","0.05","123","10.1","1","4.2","8.2","19.7","31.4"
"Port Shelter","PM1","1990-12-03","1","Middle Water","0.8","2","0.04","0.26","0.036","0.002","0.04","N/A","N/A","1","4.7","8.2","N/A","N/A"
"Port Shelter","PM1","1990-12-03","1","Bottom Water","0.8","3.5","0.06","0.25","0.038","<0.002","0.04","N/A","N/A","1","5.3","8","N/A","N/A"
"Port Shelter","PM1","1991-01-04","1","Surface Water","1.5","5","0.05","0.2","0.017","0.012","0.02","93","7.2","12","5.6","8.3","19.1","32.8"
"Port Shelter","PM1","1991-01-04","1","Middle Water","1.6","1.5","0.03","0.24","0.015","0.011","0.02","95","7.2","9","5.7","8.3","19","32.8"
"Port Shelter","PM1","1991-01-04","1","Bottom Water","1.7","1","0.04","0.21","0.021","0.011","0.03","93","7.1","12","6.3","8.3","19","32.9"
"Port Shelter","PM1","1991-02-01","1","Surface Water","0.4","4","0.16","0.25","0.18","0.019","0.21","108","8.6","1","2.2","8.2","16.8","32.7"
"Port Shelter","PM1","1991-02-01","1","Middle Water","0.4","11","0.18","0.22","0.17","0.015","0.2","105","8.3","1","2.6","8.2","16.6","32.7"
"Port Shelter","PM1","1991-02-01","1","Bottom Water","0.4","6","0.18","0.25","0.18","0.017","0.21","106","8.4","3","2.2","8.2","16.5","32.7"
"Port Shelter","PM1","1991-03-04","1","Surface Water","0.5","4","0.05","1.07","0.056","0.031","0.12","N/A","N/A","5","2.1","8","N/A","N/A"
"Port Shelter","PM1","1991-03-04","1","Middle Water","0.4","1","0.11","1.76","0.054","0.077","0.11","N/A","N/A","1","1.6","8.1","N/A","N/A"
"Port Shelter","PM1","1991-03-04","1","Bottom Water","0.4","2","0.05","0.97","0.036","0.024","0.09","N/A","N/A","1","1.9","8.1","N/A","N/A"
"Port Shelter","PM1","1991-04-24","1","Surface Water","1.1","4.5","0.03","0.41","<0.005","0.015","0.01","99","7.5","2","3.3","8.3","23","33.2"
"Port Shelter","PM1","1991-04-24","1","Middle Water","1.1","1.5","0.04","0.53","<0.005","0.011","0.01","97","7.4","4","3.2","8.2","22.6","33.4"
"Port Shelter","PM1","1991-04-24","1","Bottom Water","0.8","3","0.03","0.44","<0.005","0.007","0.04","96","7.4","23","3.1","8.2","22.1","33.3"
"Port Shelter","PM1","1991-05-13","1","Surface Water","0.8","1","0.03","0.17","0.042","0.008","0.05","107","7.8","7","1.8","8.1","24.6","32.9"
"Port Shelter","PM1","1991-05-13","1","Middle Water","0.8","2","0.05","0.15","0.036","0.005","0.04","107","7.9","1","1.8","8.1","24","33.1"
"Port Shelter","PM1","1991-05-13","1","Bottom Water","0.4","1.5","0.03","0.2","0.026","0.009","0.03","91","6.9","1","2","8","23","33.3"
"Port Shelter","PM1","1991-07-01","1","Surface Water","1.8","1","0.11","0.23","0.089","0.004","0.09","88","5.7","1","1.2","8.3","28.4","31.1"
"Port Shelter","PM1","1991-07-01","1","Middle Water","2.3","3","0.14","0.33","0.139","0.02","0.15","73","4.9","1","2","8.1","25.7","32.1"
"Port Shelter","PM1","1991-07-01","1","Bottom Water","0.9","1.5","0.08","0.35","0.089","0.006","0.09","33","2.4","2","1.2","8.2","23.3","33.2"
"Port Shelter","PM1","1991-08-02","1","Surface Water","1.1","1.5","0.03","0.51","0.06","0.006","0.07","105","7.1","1","1.8","8.5","26.6","28.7"
"Port Shelter","PM1","1991-08-02","1","Middle Water","0.8","1.5","0.07","0.52","0.102","0.012","0.11","72","5","1","1.2","8.1","24.3","31.8"
"Port Shelter","PM1","1991-08-02","1","Bottom Water","0.7","1.5","0.04","0.56","0.074","0.018","0.17","27","2","1","1.2","8.1","21.6","32.7"
"Port Shelter","PM1","1991-09-02","1","Surface Water","1.2","1","0.18","0.17","0.036","0.033","0.04","120","7.9","1","2.2","8.4","27.8","31.1"
"Port Shelter","PM1","1991-09-02","1","Middle Water","6.1","2","0.36","0.72","0.46","0.144","0.47","112","7.7","1","5.5","8.4","25.5","31.7"
"Port Shelter","PM1","1991-09-02","1","Bottom Water","1","1.5","0.18","0.28","0.095","0.038","0.14","35","2.3","1","2.3","8.1","23.7","32"
"Port Shelter","PM1","1991-10-03","1","Surface Water","1","<0.5","0.05","0.25","0.077","0.014","0.08","107","7.1","1","2.1","8.2","26.4","32.6"
"Port Shelter","PM1","1991-10-03","1","Middle Water","0.9","2","0.05","0.26","0.095","0.016","0.1","107","7.2","1","2.4","8.2","25.5","32.6"
"Port Shelter","PM1","1991-10-03","1","Bottom Water","0.9","1","0.05","0.24","0.077","0.013","0.08","82","5.6","1","3","8.2","25.1","32.5"
"Port Shelter","PM1","1991-11-11","1","Surface Water","0.8","3","0.15","0.29","0.174","0.025","0.19","104","7.9","1","5.1","8.1","23.2","31.3"
"Port Shelter","PM1","1991-11-11","1","Middle Water","0.8","3.5","0.17","0.31","0.115","0.02","0.15","99","7.5","4","4.8","8.2","23.1","32.8"
"Port Shelter","PM1","1991-11-11","1","Bottom Water","0.8","<0.5","0.13","0.36","0.077","0.013","0.09","96","7.3","1","5.1","8.2","23.1","33"
"Port Shelter","PM1","1991-12-04","1","Surface Water","1.3","2","0.11","0.35","0.123","0.02","0.17","113","9","1","1.8","8.1","20.9","31.3"
"Port Shelter","PM1","1991-12-04","1","Middle Water","1.4","2","0.11","0.34","0.114","0.014","0.17","107","8.6","2","2.1","8.2","20.9","31.7"
"Port Shelter","PM1","1991-12-04","1","Bottom Water","1.5","1.5","0.14","0.37","0.114","0.02","0.17","101","8.1","1","2.3","8.2","20.8","31.8"
"Port Shelter","PM1","1992-01-13","1","Surface Water","1.5","2","0.12","0.14","0.047","0.006","0.06","103","9","1","1.8","8.2","12.7","32"
"Port Shelter","PM1","1992-01-13","1","Middle Water","1.7","2","0.08","0.15","0.05","0.005","0.07","104","9","1","1.8","8.2","12.7","32"
"Port Shelter","PM1","1992-01-13","1","Bottom Water","1.5","1.5","0.04","0.17","0.082","0.005","0.1","102","8.9","1","1.3","8.3","12.6","32"
"Port Shelter","PM1","1992-02-17","1","Surface Water","1.1","1","0.06","0.55","0.076","0.04","0.12","82","6.8","1","1.8","8.1","15.3","32"
"Port Shelter","PM1","1992-02-17","1","Middle Water","1.1","3.5","0.06","0.39","0.065","0.021","0.11","80","6.6","9","1.9","8.1","15.3","32"
"Port Shelter","PM1","1992-02-17","1","Bottom Water","1.2","1","0.06","0.41","0.079","0.034","0.12","79","6.5","19","1.8","8","15.3","32"
"Port Shelter","PM1","1992-03-06","1","Surface Water","2.4","1.5","0.17","0.09","0.058","0.005","0.09","90","7.4","3","2.2","7.9","15.7","32.3"
"Port Shelter","PM1","1992-03-06","1","Middle Water","2","1","0.17","0.13","0.076","0.007","0.13","86","7","4","2.6","7.9","16.1","32.2"
"Port Shelter","PM1","1992-03-06","1","Bottom Water","1.9","2.5","0.2","0.12","0.062","0.008","0.11","84","6.8","3","3.1","7.9","16","32.6"
"Port Shelter","PM1","1992-04-16","1","Surface Water","1.5","0.5","0.04","0.35","0.018","0.004","0.04","104","7.9","1","2.1","8.2","20","30.9"
"Port Shelter","PM1","1992-04-16","1","Middle Water","1.5","1","0.04","0.32","0.024","0.007","0.05","104","8","1","1.7","8.2","19.3","31.2"
"Port Shelter","PM1","1992-04-16","1","Bottom Water","1.1","0.5","0.06","0.3","0.026","0.005","0.05","83","6.3","1","1.8","8.2","19","31.6"
"Port Shelter","PM1","1992-05-06","1","Surface Water","1.7","2","0.12","0.32","0.027","0.014","0.04","118","7.8","1","2.8","8.3","26.9","30.7"
"Port Shelter","PM1","1992-05-06","1","Middle Water","1.6","1.5","0.07","0.36","0.021","0.01","0.04","91","6.6","3","1.6","8.3","22.5","31"
"Port Shelter","PM1","1992-05-06","1","Bottom Water","2.1","5","0.07","0.45","0.033","<0.002","0.05","85","6.1","1","3.9","8.1","22.4","31.9"
"Port Shelter","PM1","1992-06-03","1","Surface Water","3.2","1.5","0.05","0.4","0.032","0.014","0.04","120","8","1","1.7","8.4","26.5","30"
"Port Shelter","PM1","1992-06-03","1","Middle Water","3.1","1","0.04","0.4","0.053","0.009","0.06","88","6.1","1","1.8","8.3","25.2","31.2"
"Port Shelter","PM1","1992-06-03","1","Bottom Water","1.8","1","0.06","0.34","0.048","0.011","0.06","50","3.5","1","1.7","8.2","24.8","31.3"
"Port Shelter","PM1","1992-07-31","1","Surface Water","1.8","2.5","0.08","0.55","0.024","0.02","0.03","96","5.8","1","2.2","8.3","28.8","31.1"
"Port Shelter","PM1","1992-07-31","1","Middle Water","1","1","0.07","0.38","0.028","0.028","0.06","38","2.6","1","1.5","7.8","25.2","32"
"Port Shelter","PM1","1992-07-31","1","Bottom Water","0.6","4","0.07","0.35","0.064","0.037","0.14","39","2.8","3","3.1","7.8","24.2","33.2"
"Port Shelter","PM1","1992-08-18","1","Surface Water","2","3","0.04","0.2","0.013","0.012","0.02","111","7.2","1","1.8","8","29","30.7"
"Port Shelter","PM1","1992-08-18","1","Middle Water","2","11","0.07","0.15","<0.005","0.014","0.01","105","6.8","1","1.7","8","28.4","31"
"Port Shelter","PM1","1992-08-18","1","Bottom Water","2","5.5","0.08","0.2","0.017","0.014","0.02","82","5.4","1","1.7","8","28","31.3"
"Port Shelter","PM1","1992-09-25","1","Surface Water","0.9","0.5","0.14","0.25","<0.005","0.032","0.01","105","6.8","1","2.4","8.2","29.2","32.3"
