"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Tolo Harbour and Channel","TM2","1987-07-22","1","Bottom Water","1.5","12","0.02","0.59","0.014","0.006","0.03","79","5.2","230","2.7","8.1","28.9","31.8"
"Tolo Harbour and Channel","TM2","1987-08-05","1","Surface Water","4.2","7.5","0.1","0.75","0.05","0.029","0.11","134","8.9","830","6.5","8.1","27.9","28.6"
"Tolo Harbour and Channel","TM2","1987-08-05","1","Bottom Water","4","9","0.13","0.77","0.075","0.033","0.15","20","1.4","620","8.3","8","25","32.7"
"Tolo Harbour and Channel","TM2","1987-08-19","1","Surface Water","5.7","10","0.08","1.27","0.34","0.055","0.71","N/A","13.2","14000","4.7","8.6","29","28.9"
"Tolo Harbour and Channel","TM2","1987-08-19","1","Bottom Water","2.5","6","0.07","0.25","0.19","0.018","0.22","98","6.4","440","5.1","8.2","28.2","30.7"
"Tolo Harbour and Channel","TM2","1987-09-02","1","Surface Water","5.1","5","0.24","0.75","0.12","0.059","0.24","126","8.2","340","5.1","8.6","28.9","29.9"
"Tolo Harbour and Channel","TM2","1987-09-02","1","Bottom Water","2.1","2","0.07","0.42","0.054","0.033","0.16","96","6.3","80","6.1","8.4","28.7","31.3"
"Tolo Harbour and Channel","TM2","1987-09-16","1","Surface Water","5.8","13","0.15","1.01","0.07","0.074","0.28","99","6.5","470","8.3","8.6","28.9","30.5"
"Tolo Harbour and Channel","TM2","1987-09-16","1","Bottom Water","3.9","3.5","0.07","0.84","0.085","0.04","0.18","76","5","210","11.5","8.5","28.8","31.2"
"Tolo Harbour and Channel","TM2","1987-09-30","1","Surface Water","6.8","4","0.19","1.22","0.019","0.041","0.13","105","7","2300","14","8.6","27.1","29.9"
"Tolo Harbour and Channel","TM2","1987-09-30","1","Bottom Water","5.9","1","0.16","0.82","0.024","0.027","0.03","92","6.2","2000","8","8.6","27","30.5"
"Tolo Harbour and Channel","TM2","1987-10-14","1","Surface Water","6.1","12","0.24","1.06","0.075","0.071","0.16","120","7.8","1800","12","8.3","28","30.2"
"Tolo Harbour and Channel","TM2","1987-10-28","1","Surface Water","2.6","3","0.17","1.03","0.3","0.12","0.56","73","5.2","2100","8","8.1","24.2","29.2"
"Tolo Harbour and Channel","TM2","1987-10-28","1","Bottom Water","1.1","1.5","0.13","0.7","0.17","0.064","0.34","61","4.2","800","3.5","8.1","25.1","33.1"
"Tolo Harbour and Channel","TM2","1987-11-11","1","Surface Water","3.2","3.5","0.2","1.18","0.16","0.12","0.46","85","5.9","4700","5.2","8.3","24","31.1"
"Tolo Harbour and Channel","TM2","1987-11-11","1","Bottom Water","2.6","2","0.1","0.79","0.11","0.05","0.32","42","2.9","2300","4.6","8.3","24.2","32.4"
"Tolo Harbour and Channel","TM2","1987-11-25","1","Surface Water","1.9","5","0.13","1.11","0.37","0.11","0.6","60","4.2","2500","2.2","7.9","23.5","31.2"
"Tolo Harbour and Channel","TM2","1987-11-25","1","Bottom Water","0.9","2","0.12","0.84","0.26","0.083","0.48","58","4","600000","1.6","8","23.5","32.5"
"Tolo Harbour and Channel","TM2","1987-12-09","1","Surface Water","2.8","9","0.21","2.08","0.37","0.14","1.35","94","7.6","160","3.6","8.2","16.6","29.1"
"Tolo Harbour and Channel","TM2","1987-12-23","1","Surface Water","3.8","7.5","0.1","1.03","0.1","0.03","0.17","108","8.5","4600","5.5","8.3","17.1","31.8"
"Tolo Harbour and Channel","TM2","1987-12-23","1","Bottom Water","2.1","6","0.07","0.73","0.057","0.018","0.07","112","8.9","50","5","8.2","17.1","31.9"
"Tolo Harbour and Channel","TM2","1988-01-06","1","Surface Water","7.5","20","0.19","1.59","0.079","0.05","0.66","103","8.2","290","6.1","8.5","18","32.2"
"Tolo Harbour and Channel","TM2","1988-01-06","1","Bottom Water","2.9","6","0.06","0.73","0.091","0.023","0.15","91","7.2","150","3.2","8.3","18.5","33.8"
"Tolo Harbour and Channel","TM2","1988-01-20","1","Surface Water","1.8","12","0.16","1.07","0.23","0.13","0.56","91","6.4","1700","2","8.2","18.5","30.4"
"Tolo Harbour and Channel","TM2","1988-01-20","1","Bottom Water","1.6","36","0.07","0.84","0.17","0.07","0.29","93","7","720","2","8.2","18.5","31"
"Tolo Harbour and Channel","TM2","1988-02-03","1","Surface Water","3","20","0.18","1.11","0.37","0.11","0.59","86","7","2000","3","8.4","18.4","30.2"
"Tolo Harbour and Channel","TM2","1988-02-03","1","Bottom Water","2.7","17","0.08","0.87","0.075","0.018","0.15","93","7.3","130","3","8.4","18.7","31.1"
"Tolo Harbour and Channel","TM2","1988-02-15","1","Surface Water",">8.8","7","0.4","1.68","0.22","0.15","0.5","109","8.4","3700","4.9","8.3","18.5","29.8"
"Tolo Harbour and Channel","TM2","1988-03-02","1","Surface Water","2.4","13","0.31","1.31","0.38","0.13","0.7","76","6.2","1600","2.9","8.2","16.3","30.5"
"Tolo Harbour and Channel","TM2","1988-03-02","1","Bottom Water","1.3","3.5","0.18","0.87","0.29","0.1","0.58","76","6.2","600","2","8.1","16.3","30.7"
"Tolo Harbour and Channel","TM2","1988-03-16","1","Surface Water","2.6","25","0.08","0.87","0.04","0.019","0.06","71","5.7","370","4.6","8.2","16.3","31.9"
"Tolo Harbour and Channel","TM2","1988-03-16","1","Bottom Water","2","18","0.08","0.8","0.047","0.019","0.06","59","4.4","1800","3","8","16","32.1"
"Tolo Harbour and Channel","TM2","1988-03-30","1","Surface Water","9.5","16","0.63","7.08","0.076","0.031","0.25","82","6.4","3200","6.6","8.4","17.7","30"
"Tolo Harbour and Channel","TM2","1988-03-30","1","Bottom Water","8.2","17","0.48","4.12","0.14","0.06","0.36","80","6.2","3500","9.8","8.3","17.7","30"
"Tolo Harbour and Channel","TM2","1988-04-13","1","Surface Water","1.1","2","0.09","1.14","0.38","0.07","0.42","95","7.6","100","3.2","7.9","18","27.8"
"Tolo Harbour and Channel","TM2","1988-04-13","1","Bottom Water","12.1","6.5","0.44","3.59","0.39","0.26","0.58","22","1.7","1000","14.5","8.5","17.2","31.4"
"Tolo Harbour and Channel","TM2","1988-04-27","1","Surface Water","11","8.5","0.7","4.34","0.73","0.27","0.87","123","9.1","260","21.2","8.3","21","30.3"
"Tolo Harbour and Channel","TM2","1988-04-27","1","Bottom Water","1.1","1.5","0.12","0.96","0.25","0.083","0.35","26","1.8","10","3.9","8.1","19","31"
"Tolo Harbour and Channel","TM2","1988-05-11","1","Surface Water","10.8","9","0.29","1.75","0.006","0.066","0.06","159","11.5","6300","9.7","9","24.3","24.3"
"Tolo Harbour and Channel","TM2","1988-05-11","1","Bottom Water","5.7","7","0.16","1.31","0.061","0.021","0.08","48","3.6","6300","8","8.8","23.6","24.9"
"Tolo Harbour and Channel","TM2","1988-05-19","1","Surface Water","4","5","0.17","1.43","0.2","0.05","0.65","88","6","310","7.3","8.4","25.5","29.4"
"Tolo Harbour and Channel","TM2","1988-05-19","1","Bottom Water","1.8","2","0.11","0.74","0.2","0.048","0.28","33","2.3","150","4","8.3","25.1","30.5"
"Tolo Harbour and Channel","TM2","1988-05-25","1","Surface Water","1.5","2","0.08","0.77","0.25","0.05","0.28","37","2.5","220","2.8","8","24.8","31.9"
"Tolo Harbour and Channel","TM2","1988-05-25","1","Bottom Water","1.4","2","0.08","0.66","0.25","0.052","0.28","37","2.5","260","5.8","8.1","24.7","32"
"Tolo Harbour and Channel","TM2","1988-06-08","1","Surface Water","4","5","0.14","1.12","0.076","0.019","0.1","126","8.3","9400","3.5","8.4","27.8","31.6"
"Tolo Harbour and Channel","TM2","1988-06-08","1","Bottom Water","3","4","0.07","0.58","0.051","0.019","0.08","60","4.3","890","2.9","8.4","26.8","31.8"
"Tolo Harbour and Channel","TM2","1988-06-22","1","Surface Water","1.2","1","0.04","0.62","0.022","0.009","0.04","23","1.6","20","2.4","8.1","28.5","32.7"
"Tolo Harbour and Channel","TM2","1988-06-22","1","Bottom Water","1.4","0.5","0.04","0.65","0.03","0.01","0.04","8","0.6","10","2.2","8.1","28.1","32.8"
"Tolo Harbour and Channel","TM2","1988-07-06","1","Surface Water","2.8","3","0.06","0.98","0.22","0.002","0.48","103","6.7","240","5.3","8.3","29","31.6"
"Tolo Harbour and Channel","TM2","1988-07-06","1","Bottom Water","1.8","2","0.03","0.44","0.032","0.003","0.07","21","1.4","30","3.2","8.2","27.9","32.2"
"Tolo Harbour and Channel","TM2","1988-07-20","1","Surface Water","1","3.5","0.09","0.53","0.09","0.054","0.2","33","2.2","2200","6.4","7.6","25.5","30.9"
"Tolo Harbour and Channel","TM2","1988-07-20","1","Bottom Water","0.9","2.5","0.06","0.62","0.15","0.047","0.2","13","0.8","400","4.9","7.8","25","33.3"
"Tolo Harbour and Channel","TM2","1988-08-03","1","Surface Water","5.6","6","0.06","0.91","0.068","0.044","0.2","120","7.9","2500","5.4","8.5","27.8","31.4"
