"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Western Buffer","WM1","1989-09-11","1","Middle Water","1.3","5","0.03","0.43","0.056","0.009","0.1","6.5","72","4.6","40","7","8.6","28","30.8"
"Western Buffer","WM1","1989-09-11","1","Bottom Water","0.9","7.5","0.03","0.4","0.05","0.009","0.1","5.8","57","3.6","10","5.8","8.5","27.4","31.5"
"Western Buffer","WM1","1989-10-13","1","Surface Water","0.3","14","0.04","0.22","0.058","0.022","0.16","0.2","78","5.2","1000","8.6","8.5","26.3","32.7"
"Western Buffer","WM1","1989-10-13","1","Middle Water","<0.1","15","0.03","0.43","0.052","0.019","0.15","1.3","79","5.3","1300","3.5","8.5","26.3","32.7"
"Western Buffer","WM1","1989-10-13","1","Bottom Water","<0.1","14","0.04","0.64","0.077","0.018","0.18","0.8","79","5.3","1400","13.5","8.5","26.3","32.7"
"Western Buffer","WM1","1989-11-17","1","Surface Water","0.4","5","0.03","0.6","0.07","0.2","0.1","0.8","84","6","91","7.3","8.5","23.1","31.8"
"Western Buffer","WM1","1989-11-17","1","Middle Water","0.9","7.5","0.04","0.5","0.065","0.018","0.09","0.9","83","5.9","140","9.1","8.5","23.1","31.8"
"Western Buffer","WM1","1989-11-17","1","Bottom Water","0.6","12","0.03","0.38","0.068","0.02","0.09","0.5","82","5.8","N/A","13.8","8.5","23.1","31.9"
"Western Buffer","WM1","1989-12-15","1","Surface Water","1.4","5.5","0.06","0.44","0.062","0.026","0.15","2.5","85","6.4","40","4.8","8.5","19.6","31.8"
"Western Buffer","WM1","1989-12-15","1","Middle Water","1.6","6.5","0.07","0.52","0.059","0.023","0.14","2.5","84","6.4","10","5.2","8.5","19.6","31.9"
"Western Buffer","WM1","1989-12-15","1","Bottom Water","1.5","6","0.07","0.53","0.048","0.02","0.13","2.3","85","6.5","20","4.6","8.5","19.6","32"
"Western Buffer","WM1","1990-01-22","1","Surface Water","1.7","2","0.06","0.45","0.005","0.017","0.09","0.3","80","7","260","2.4","8.3","16.8","31.2"
"Western Buffer","WM1","1990-01-22","1","Middle Water","1.4","2","0.03","0.48","0.013","0.015","0.1","0.8","79","7","160","2.8","8.3","16.8","31.3"
"Western Buffer","WM1","1990-01-22","1","Bottom Water","1.3","2","0.03","0.49","0.052","0.022","0.14","0.4","79","7","160","3","8.4","16.8","31.3"
"Western Buffer","WM1","1990-02-09","1","Surface Water","0.8","2","0.04","0.47","0.035","0.023","0.12","1.1","86","7.8","150","2","8.5","16.1","31.5"
"Western Buffer","WM1","1990-02-09","1","Middle Water","0.8","1.5","0.05","0.54","0.039","0.02","0.13","0.4","78","7","200","2.1","8.5","16","31.3"
"Western Buffer","WM1","1990-02-09","1","Bottom Water","0.8","2","0.04","0.47","0.039","0.021","0.13","0.4","74","6.7","40","2.1","8.5","16","31.3"
"Western Buffer","WM1","1990-03-19","1","Surface Water","0.1","1","0.07","0.49","0.064","0.015","0.09","3.7","85","6.1","1100","2.2","8.4","25.6","23.2"
"Western Buffer","WM1","1990-03-19","1","Middle Water","<0.1","1.5","0.05","0.49","0.034","0.013","0.14","0.8","81","7","10","2","8.6","17.1","31.8"
"Western Buffer","WM1","1990-03-19","1","Bottom Water","0.1","1.5","0.03","0.38","0.017","0.01","0.05","0.5","79","7","10","1.9","8.7","17","31.8"
"Western Buffer","WM1","1990-04-09","1","Surface Water","0.4","2.5","0.08","0.4","0.073","0.007","0.14","0.3","78","6.3","200","3","8.3","20.1","32.1"
"Western Buffer","WM1","1990-04-09","1","Middle Water","0.6","2.5","0.02","0.51","0.061","0.004","0.18","0.3","70","5.7","230","2.2","8.3","20","32.2"
"Western Buffer","WM1","1990-04-09","1","Bottom Water","0.8","2.5","0.03","0.48","0.063","0.003","0.11","0.5","72","5.9","180","2.3","8.4","19.8","32.3"
"Western Buffer","WM1","1990-05-11","1","Surface Water","0.4","1","0.04","0.54","0.058","0.006","0.2","1.1","89","6.8","10","4","8.6","22.5","31.2"
"Western Buffer","WM1","1990-05-11","1","Middle Water","0.5","4","0.11","0.47","0.065","<0.002","0.11","1.1","80","6.2","290","5.4","8.7","22.4","32.1"
"Western Buffer","WM1","1990-05-11","1","Bottom Water","0.2","3","0.08","1.33","0.053","0.007","0.08","1.6","60","4.7","300","3","8.6","21.7","33.1"
"Western Buffer","WM1","1990-06-11","1","Surface Water","0.8","1","0.04","0.74","0.025","0.005","0.16","1.9","95","6.8","290","2.8","8.4","25.9","29.1"
"Western Buffer","WM1","1990-06-11","1","Middle Water","0.7","1.5","0.1","0.58","0.031","0.002","0.1","4.8","97","7","350","3.1","8.6","25.7","29.9"
"Western Buffer","WM1","1990-06-11","1","Bottom Water","0.6","1.5","0.04","0.46","0.016","<0.002","0.04","1.9","88","6.4","10","5.5","8.7","24.8","33.1"
"Western Buffer","WM1","1990-07-09","1","Surface Water","1","1","0.06","0.64","0.041","<0.002","0.27","0.5","151","10.2","170","2.2","8.7","28.6","23"
"Western Buffer","WM1","1990-07-09","1","Middle Water","1.3","2.5","0.07","0.63","0.05","0.003","0.2","<0.2","57","4.2","170","2.7","8.3","24.4","32.7"
"Western Buffer","WM1","1990-07-09","1","Bottom Water","1","5.5","0.06","0.47","0.04","0.004","0.14","<0.2","48","3.6","310","5.3","8.3","23.5","34"
"Western Buffer","WM1","1990-08-13","1","Surface Water","0.4","0.5","0.08","0.48","0.027","0.008","0.22","6.4","115","7.8","40","5","8.4","28.6","27.1"
"Western Buffer","WM1","1990-08-13","1","Middle Water","0.3","5","0.04","0.34","0.012","0.009","0.12","1.6","62","4.5","1000","8","8.3","25.2","33.7"
"Western Buffer","WM1","1990-08-13","1","Bottom Water","0.1","6","0.07","0.3","0.009","0.004","0.09","<0.2","61","4.4","40","7","8.3","24.7","34.1"
"Western Buffer","WM1","1990-09-10","1","Surface Water","0.1","1","0.44","2.03","0.045","0.013","0.18","1.6","85","5.8","640","10","8.3","27.7","31.3"
"Western Buffer","WM1","1990-09-10","1","Middle Water","0.2","3","0.36","0.59","0.029","0.01","0.13","1.3","73","5","950","20","8.3","27.5","32.2"
"Western Buffer","WM1","1990-09-10","1","Bottom Water","0.1","5.5","0.34","0.93","0.035","0.01","0.13","1.3","69","4.8","1900","14","8.3","27.2","32.8"
"Western Buffer","WM1","1990-10-12","1","Surface Water","1.3","4.5","0.09","0.65","0.15","0.051","0.22","1.7","56","3.8","10","2","8","27.3","30.8"
"Western Buffer","WM1","1990-10-12","1","Middle Water","1.6","9.5","0.05","1.17","0.11","0.012","0.18","0.5","68","4.7","70","3","8.1","27.1","31.5"
"Western Buffer","WM1","1990-10-12","1","Bottom Water","1.4","7.5","0.03","0.53","0.052","0.012","0.11","1.3","78","5.4","170","4","8.1","27.2","31.7"
"Western Buffer","WM1","1990-11-09","1","Surface Water","1.6","7","0.05","0.64","0.19","0.028","0.27","2.4","98","7.2","70","5.2","7.7","24.7","31.5"
"Western Buffer","WM1","1990-11-09","1","Middle Water","1.2","4.5","0.06","0.62","0.22","0.03","0.3","1.1","99","7.2","54","6.8","7.9","24.7","31.7"
"Western Buffer","WM1","1990-11-09","1","Bottom Water","1.1","3.5","0.11","0.48","0.2","0.028","0.28","1","101","7.4","54","7.2","7.9","24.7","32"
"Western Buffer","WM1","1990-12-10","1","Surface Water","0.9","6","0.06","0.48","0.096","0.037","0.17","0.5","99","7.5","800","11","8.1","19","32.6"
"Western Buffer","WM1","1990-12-10","1","Middle Water","1","16","0.06","0.48","0.093","0.036","0.17","0.5","99","7.6","800","10","8.2","18.9","32.6"
"Western Buffer","WM1","1990-12-10","1","Bottom Water","0.5","16","0.07","0.44","0.08","0.034","0.17","0.3","101","7.9","250","14","8.1","18.8","32.6"
"Western Buffer","WM1","1991-01-11","1","Surface Water","1.1","3","0.07","0.34","0.065","0.02","0.12","0.8","88","6.9","76","7","8","17.3","32.3"
"Western Buffer","WM1","1991-01-11","1","Middle Water","0.9","3.5","0.06","0.31","0.076","0.019","0.13","1.1","86","6.8","80","8.9","8","17.3","32.4"
"Western Buffer","WM1","1991-01-11","1","Bottom Water","0.9","3.5","0.06","0.3","0.046","0.015","0.09","0.5","114","9","270","6.1","8","17.1","32.5"
"Western Buffer","WM1","1991-02-21","1","Surface Water","0.8","3","0.05","0.37","0.27","0.025","0.32","1.1","96","8.4","5700","2.8","8.2","17","31.6"
"Western Buffer","WM1","1991-02-21","1","Middle Water","0.7","3","0.03","0.4","0.26","0.02","0.31","1.5","92","8.1","4000","3.3","8.1","17","31.8"
"Western Buffer","WM1","1991-02-21","1","Bottom Water","0.7","4","0.04","0.41","0.29","0.021","0.34","0.8","91","8","4600","3.9","8.2","17","31.8"
"Western Buffer","WM1","1991-03-11","1","Surface Water","1.4","2","0.09","0.7","0.12","0.048","0.22","0.5","95","7.9","4","2.4","7.9","19.6","31.1"
"Western Buffer","WM1","1991-03-11","1","Middle Water","1.1","1.5","0.12","0.39","0.12","0.038","0.21","0.5","93","7.8","40","2.4","8","19","32.2"
"Western Buffer","WM1","1991-03-11","1","Bottom Water","0.8","1","0.07","1.08","0.06","0.029","0.14","0.3","84","7","170","2.4","8","18.8","33.5"
"Western Buffer","WM1","1991-04-12","1","Surface Water","0.8","6","0.09","0.59","<0.005","0.04","0.16","1.6","99","7.6","6","5.3","8.1","22.7","30.1"
"Western Buffer","WM1","1991-04-12","1","Middle Water","0.7","3","0.07","0.61","<0.005","0.023","0.04","1.9","86","6.9","260","2.4","8.1","20.9","32.6"
"Western Buffer","WM1","1991-04-12","1","Bottom Water","0.8","18","0.06","0.58","0.017","0.029","0.14","1.6","84","6.9","90","7.2","8.1","20","33.4"
"Western Buffer","WM1","1991-05-03","1","Surface Water","0.9","2.5","0.04","1.17","0.121","0.019","0.19","0.5","82","6.2","150","2.5","8.2","23","32.9"
"Western Buffer","WM1","1991-05-03","1","Middle Water","1","6","0.06","0.91","0.096","0.015","0.13","1.1","80","6.1","460","2.8","8.2","22.8","33.3"
"Western Buffer","WM1","1991-05-03","1","Bottom Water","0.6","10","0.04","1.24","0.082","0.007","0.12","0.8","80","6.1","130","7.6","8.2","22.8","33.5"
"Western Buffer","WM1","1991-06-06","1","Surface Water","2.1","5.5","0.37","0.15","0.075","0.005","0.13","6.7","120","8.1","20","1.7","8.6","27.3","28.5"
"Western Buffer","WM1","1991-06-06","1","Middle Water","1","1","0.13","0.22","0.057","0.01","0.09","0.8","56","4","280","1.5","8.2","23.1","33.4"
"Western Buffer","WM1","1991-06-06","1","Bottom Water","0.7","4","0.08","0.27","0.036","0.01","0.06","0.5","56","4.1","23","2","8.2","22.4","33.9"
"Western Buffer","WM1","1991-07-08","1","Surface Water","3.3","4","0.19","0.66","0.182","0.009","0.65","26","118","7.9","80","2.9","8.8","26.4","19.9"
"Western Buffer","WM1","1991-07-08","1","Middle Water","1.2","4.5","0.1","0.39","0.063","0.021","0.35","0.8","49","3.5","700","3.5","8.3","22.1","32.5"
"Western Buffer","WM1","1991-07-08","1","Bottom Water","0.7","4.5","0.11","0.21","0.081","0.019","0.18","0.5","54","4","1600","3.8","8.3","20.9","34"
"Western Buffer","WM1","1991-08-08","1","Surface Water","1.8","3","0.04","0.82","0.128","0.013","0.34","5.6","122","8.4","200","2","8.4","25.8","24.2"
"Western Buffer","WM1","1991-08-08","1","Middle Water","0.7","5.5","0.06","0.78","0.127","0.018","0.32","1.1","58","4.2","120","3.8","8.2","22.6","30.7"
"Western Buffer","WM1","1991-08-08","1","Bottom Water","0.6","4","0.07","0.55","0.155","0.018","0.3","0.3","36","3.7","600","3.5","8.1","19.7","33.9"
"Western Buffer","WM1","1991-09-16","1","Surface Water","0.7","2","0.12","0.54","0.068","0.039","0.28","<0.2","68","4.8","370","1.4","8","24.4","30.7"
"Western Buffer","WM1","1991-09-16","1","Middle Water","0.4","5.5","0.13","0.42","0.034","0.04","0.27","<0.2","64","4.5","120","1.3","8","24.4","30.9"
"Western Buffer","WM1","1991-09-16","1","Bottom Water","0.3","6","0.08","0.43","0.064","0.031","0.25","0.8","61","4.3","50","2.2","8","24.2","32.7"
"Western Buffer","WM1","1991-10-10","1","Surface Water","0.6","5","0.15","0.43","0.074","0.023","0.18","0.5","126","8.7","250","2.4","8.2","24.8","32.9"
"Western Buffer","WM1","1991-10-10","1","Middle Water","0.6","4.5","0.18","0.71","0.05","0.022","0.14","<0.2","112","7.8","140","2.8","8.2","24.8","32.9"
"Western Buffer","WM1","1991-10-10","1","Bottom Water","0.6","8","0.12","0.62","0.04","0.022","0.14","1.3","140","9.7","160","3.5","8.2","24.5","33"
"Western Buffer","WM1","1991-11-18","1","Surface Water","1","10","0.14","0.51","0.167","0.033","0.26","0.4","99","7.7","900","6.1","6.5","22.1","32.4"
"Western Buffer","WM1","1991-11-18","1","Middle Water","0.8","6","0.16","0.43","0.052","0.019","0.13","0.4","91","7.1","220","3.8","8.1","22","32.5"
"Western Buffer","WM1","1991-11-18","1","Bottom Water","0.8","8","0.11","0.36","0.048","0.018","0.13","0.7","94","7.4","55","4.3","8.2","21.9","32.5"
"Western Buffer","WM1","1991-12-13","1","Surface Water","0.9","8","0.11","0.75","0.1","0.051","0.56","0.3","N/A","N/A","90","6.8","7.9","N/A","N/A"
"Western Buffer","WM1","1991-12-13","1","Middle Water","N/A","13","0.24","0.62","0.093","0.04","0.48","0.3","N/A","N/A","1400","10","7.9","N/A","N/A"
"Western Buffer","WM1","1991-12-13","1","Bottom Water","N/A","12","0.22","0.59","0.04","0.035","0.44","0.3","N/A","N/A","2300","11","7.9","N/A","N/A"
"Western Buffer","WM1","1992-01-10","1","Surface Water","0.8","2.5","0.12","0.25","0.076","0.014","0.14","0.3","143","12.5","4600","3.5","8.2","17.2","28.5"
"Western Buffer","WM1","1992-01-10","1","Middle Water","0.9","4.5","0.09","0.24","0.064","0.014","0.13","0.5","97","8.4","4300","4.5","8.3","17.5","32"
"Western Buffer","WM1","1992-01-10","1","Bottom Water","1.1","4.5","0.12","0.29","0.066","0.013","0.13","0.5","93","8.1","900","5.3","8.4","17.5","32.1"
"Western Buffer","WM1","1992-02-24","1","Surface Water","1.1","5.5","0.09","0.37","0.06","0.007","0.15","0.3","88","7.3","1400","4.5","7.9","15.2","32.1"
"Western Buffer","WM1","1992-02-24","1","Middle Water","1.2","6","0.1","0.38","0.055","0.003","0.16","0.8","90","7.4","800","4.9","8","15.1","32.1"
"Western Buffer","WM1","1992-02-24","1","Bottom Water","1","4.5","0.09","0.35","0.044","0.003","0.13","0.5","87","7.2","290","3.4","8","15","32.1"
"Western Buffer","WM1","1992-03-16","1","Surface Water","1.6","5.5","0.17","0.61","0.162","0.034","0.27","<0.2","93","7.3","180","4.9","8","17.9","31.9"
"Western Buffer","WM1","1992-03-16","1","Middle Water","0.9","4.5","0.11","0.61","0.142","0.025","0.25","0.3","91","7.2","700","3.7","8","17.3","32.2"
"Western Buffer","WM1","1992-03-16","1","Bottom Water","0.7","3.5","0.17","0.48","0.112","0.017","0.19","0.5","91","7.3","300","2.8","8.1","17.1","32.6"
"Western Buffer","WM1","1992-04-10","1","Surface Water","0.8","2","0.11","0.79","0.163","0.039","0.32","0.3","85","6.4","6400","2.9","8","19.3","29.8"
"Western Buffer","WM1","1992-04-10","1","Middle Water","0.5","2","0.14","0.5","0.067","0.013","0.1","0.3","88","6.7","150","2.3","8","19.3","32.4"
"Western Buffer","WM1","1992-04-10","1","Bottom Water","0.4","5","0.17","0.41","0.055","0.01","0.1","0.8","86","6.5","48","4.3","8","19.3","32.5"
"Western Buffer","WM1","1992-05-11","1","Surface Water","0.6","3","0.07","0.46","0.135","0.022","0.22","0.5","76","5.4","150","4","8.1","22.9","29.3"
"Western Buffer","WM1","1992-05-11","1","Middle Water","0.4","3","0.09","0.4","0.146","0.036","0.22","0.5","75","5.3","310","3.4","8","22.9","29.6"
"Western Buffer","WM1","1992-05-11","1","Bottom Water","0.4","2.5","0.07","0.3","0.094","0.014","0.15","<0.2","71","5.1","230","4.6","8.1","22.8","30.8"
"Western Buffer","WM1","1992-06-12","1","Surface Water","1","5","0.08","0.75","0.112","0.031","0.23","1.6","87","6","700","5.6","7.9","25.6","29.5"
"Western Buffer","WM1","1992-06-12","1","Middle Water","0.7","5.5","0.07","0.63","0.062","0.018","0.14","<0.2","89","6.2","380","5.8","8.1","25.5","30"
"Western Buffer","WM1","1992-06-12","1","Bottom Water","0.8","4","0.08","0.63","0.051","0.016","0.14","0.5","88","6","1000","5.1","8.1","25.5","31.1"
"Western Buffer","WM1","1992-07-24","1","Surface Water","1.5","3.5","0.03","0.69","0.06","0.019","0.18","0.5","90","6.1","16","3.7","7.7","26.2","28.7"
"Western Buffer","WM1","1992-07-24","1","Middle Water","1","5.5","0.09","0.61","0.072","0.025","0.18","<0.2","83","5.7","110","4.9","7.7","25.6","29.6"
"Western Buffer","WM1","1992-07-24","1","Bottom Water","1","8.5","0.09","0.52","0.027","0.013","0.06","<0.2","82","5.7","310","6.4","7.8","25.2","33.7"
