Zone,Parameter1,Parameter2,Correlation,Abs_Correlation,Strength
1,Ammonia Nitrogen (mg/L),Salinity (psu),-0.021914600767016755,0.021914600767016755,Very Weak
1,Orthophosphate Phosphorus (mg/L),Total Inorganic Nitrogen (mg/L),0.6366079796324868,0.6366079796324868,Strong
1,Orthophosphate Phosphorus (mg/L),Chlorophyll-a (μg/L),0.05609191959274296,0.05609191959274296,Very Weak
1,Orthophosphate Phosphorus (mg/L),Dissolved Oxygen (%saturation),-0.052346593612207136,0.052346593612207136,Very Weak
1,Orthophosphate Phosphorus (mg/L),Dissolved Oxygen (mg/L),0.02125521555938638,0.02125521555938638,Very Weak
1,Orthophosphate Phosphorus (mg/L),E. coli (cfu/100mL),0.09892507879400995,0.09892507879400995,Very Weak
1,Orthophosphate Phosphorus (mg/L),Turbidity (NTU),-0.017416549836671697,0.017416549836671697,Very Weak
1,Orthophosphate Phosphorus (mg/L),pH,-0.01035913194997482,0.01035913194997482,Very Weak
1,Orthophosphate Phosphorus (mg/L),Temperature (°C),-0.219811390891047,0.219811390891047,Weak
1,Orthophosphate Phosphorus (mg/L),Salinity (psu),0.006100549423332295,0.006100549423332295,Very Weak
1,Total Inorganic Nitrogen (mg/L),Chlorophyll-a (μg/L),0.06155151170887124,0.06155151170887124,Very Weak
1,Total Inorganic Nitrogen (mg/L),Dissolved Oxygen (%saturation),-0.17768573542476107,0.17768573542476107,Very Weak
1,Total Inorganic Nitrogen (mg/L),Dissolved Oxygen (mg/L),-0.08093364068937528,0.08093364068937528,Very Weak
1,Total Inorganic Nitrogen (mg/L),E. coli (cfu/100mL),0.1635510070069849,0.1635510070069849,Very Weak
1,Total Inorganic Nitrogen (mg/L),Turbidity (NTU),0.05766589483517407,0.05766589483517407,Very Weak
1,Total Inorganic Nitrogen (mg/L),pH,-0.1690788114851346,0.1690788114851346,Very Weak
1,Total Inorganic Nitrogen (mg/L),Temperature (°C),-0.25448417349518704,0.25448417349518704,Weak
1,Total Inorganic Nitrogen (mg/L),Salinity (psu),-0.16297094595544553,0.16297094595544553,Very Weak
1,Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),0.3607117945459374,0.3607117945459374,Weak
1,Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),0.3592579132750642,0.3592579132750642,Weak
1,Chlorophyll-a (μg/L),E. coli (cfu/100mL),0.018357111391632798,0.018357111391632798,Very Weak
1,Chlorophyll-a (μg/L),Turbidity (NTU),0.026134592978657337,0.026134592978657337,Very Weak
1,Chlorophyll-a (μg/L),pH,0.2519566643022482,0.2519566643022482,Weak
1,Chlorophyll-a (μg/L),Temperature (°C),0.008875928863950564,0.008875928863950564,Very Weak
1,Chlorophyll-a (μg/L),Salinity (psu),-0.14134681957272818,0.14134681957272818,Very Weak
1,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),0.9462729126786671,0.9462729126786671,Very Strong
1,Dissolved Oxygen (%saturation),E. coli (cfu/100mL),-0.07721083291509644,0.07721083291509644,Very Weak
1,Dissolved Oxygen (%saturation),Turbidity (NTU),-0.01729078064646094,0.01729078064646094,Very Weak
1,Dissolved Oxygen (%saturation),pH,0.4596355191131643,0.4596355191131643,Moderate
1,Dissolved Oxygen (%saturation),Temperature (°C),0.13461494590786438,0.13461494590786438,Very Weak
1,Dissolved Oxygen (%saturation),Salinity (psu),-0.15890274835314178,0.15890274835314178,Very Weak
1,Dissolved Oxygen (mg/L),E. coli (cfu/100mL),-0.08179299262079566,0.08179299262079566,Very Weak
1,Dissolved Oxygen (mg/L),Turbidity (NTU),-0.006779285415477282,0.006779285415477282,Very Weak
1,Dissolved Oxygen (mg/L),pH,0.43241288673054135,0.43241288673054135,Moderate
1,Dissolved Oxygen (mg/L),Temperature (°C),-0.1445708380729232,0.1445708380729232,Very Weak
1,Dissolved Oxygen (mg/L),Salinity (psu),-0.1141139663019222,0.1141139663019222,Very Weak
1,E. coli (cfu/100mL),Turbidity (NTU),0.06749154284398899,0.06749154284398899,Very Weak
1,E. coli (cfu/100mL),pH,-0.06946862097511922,0.06946862097511922,Very Weak
1,E. coli (cfu/100mL),Temperature (°C),0.047997176308718956,0.047997176308718956,Very Weak
1,E. coli (cfu/100mL),Salinity (psu),-0.12179471637352315,0.12179471637352315,Very Weak
1,Turbidity (NTU),pH,-0.06908745893889247,0.06908745893889247,Very Weak
1,Turbidity (NTU),Temperature (°C),0.020265533385126593,0.020265533385126593,Very Weak
1,Turbidity (NTU),Salinity (psu),-0.23888295318698297,0.23888295318698297,Weak
1,pH,Temperature (°C),0.10263294180460099,0.10263294180460099,Very Weak
1,pH,Salinity (psu),-0.08623868196416848,0.08623868196416848,Very Weak
1,Temperature (°C),Salinity (psu),-0.33518082523597204,0.33518082523597204,Weak
2,5-day Biochemical Oxygen Demand (mg/L),Suspended Solids (mg/L),-0.07158608919044464,0.07158608919044464,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),Total Phosphorus (mg/L),0.008159304312041156,0.008159304312041156,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),Total Nitrogen (mg/L),0.20886990063360278,0.20886990063360278,Weak
2,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),-0.10645667182940924,0.10645667182940924,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),Orthophosphate Phosphorus (mg/L),-0.20508465571572823,0.20508465571572823,Weak
2,5-day Biochemical Oxygen Demand (mg/L),Total Inorganic Nitrogen (mg/L),0.14002460546656356,0.14002460546656356,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),Chlorophyll-a (μg/L),0.6799310435850638,0.6799310435850638,Strong
2,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (%saturation),0.5445541573188298,0.5445541573188298,Moderate
2,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),0.46108584310349077,0.46108584310349077,Moderate
2,5-day Biochemical Oxygen Demand (mg/L),E. coli (cfu/100mL),-0.05415439734202981,0.05415439734202981,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),Turbidity (NTU),-0.10802017317558812,0.10802017317558812,Very Weak
2,5-day Biochemical Oxygen Demand (mg/L),pH,0.3434684134878515,0.3434684134878515,Weak
2,5-day Biochemical Oxygen Demand (mg/L),Temperature (°C),0.26389533924857816,0.26389533924857816,Weak
2,5-day Biochemical Oxygen Demand (mg/L),Salinity (psu),-0.40560836286447327,0.40560836286447327,Moderate
2,Suspended Solids (mg/L),Total Phosphorus (mg/L),0.03663474932489561,0.03663474932489561,Very Weak
2,Suspended Solids (mg/L),Total Nitrogen (mg/L),-0.043144313187093344,0.043144313187093344,Very Weak
2,Suspended Solids (mg/L),Ammonia Nitrogen (mg/L),0.016953633021189053,0.016953633021189053,Very Weak
2,Suspended Solids (mg/L),Orthophosphate Phosphorus (mg/L),0.0776684060213871,0.0776684060213871,Very Weak
2,Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),-0.0668461671680481,0.0668461671680481,Very Weak
2,Suspended Solids (mg/L),Chlorophyll-a (μg/L),0.004003696201267826,0.004003696201267826,Very Weak
2,Suspended Solids (mg/L),Dissolved Oxygen (%saturation),-0.08056820796394838,0.08056820796394838,Very Weak
2,Suspended Solids (mg/L),Dissolved Oxygen (mg/L),-0.09687102953498679,0.09687102953498679,Very Weak
2,Suspended Solids (mg/L),E. coli (cfu/100mL),0.00395393389425155,0.00395393389425155,Very Weak
2,Suspended Solids (mg/L),Turbidity (NTU),0.2602515890149308,0.2602515890149308,Weak
2,Suspended Solids (mg/L),pH,-0.040878346091077926,0.040878346091077926,Very Weak
2,Suspended Solids (mg/L),Temperature (°C),0.002637211904576277,0.002637211904576277,Very Weak
2,Suspended Solids (mg/L),Salinity (psu),0.10314395680799651,0.10314395680799651,Very Weak
2,Total Phosphorus (mg/L),Total Nitrogen (mg/L),0.08728668847765117,0.08728668847765117,Very Weak
2,Total Phosphorus (mg/L),Ammonia Nitrogen (mg/L),0.05086392837138232,0.05086392837138232,Very Weak
2,Total Phosphorus (mg/L),Orthophosphate Phosphorus (mg/L),0.2356708213090982,0.2356708213090982,Weak
2,Total Phosphorus (mg/L),Total Inorganic Nitrogen (mg/L),0.007167299639391209,0.007167299639391209,Very Weak
2,Total Phosphorus (mg/L),Chlorophyll-a (μg/L),-0.02035092517027605,0.02035092517027605,Very Weak
2,Total Phosphorus (mg/L),Dissolved Oxygen (%saturation),0.033252146428290295,0.033252146428290295,Very Weak
2,Total Phosphorus (mg/L),Dissolved Oxygen (mg/L),0.036789496656572364,0.036789496656572364,Very Weak
2,Total Phosphorus (mg/L),E. coli (cfu/100mL),-0.010442434777908995,0.010442434777908995,Very Weak
2,Total Phosphorus (mg/L),Turbidity (NTU),-0.034267257087208104,0.034267257087208104,Very Weak
2,Total Phosphorus (mg/L),pH,-0.0037960570442806224,0.0037960570442806224,Very Weak
2,Total Phosphorus (mg/L),Temperature (°C),0.005378519141326435,0.005378519141326435,Very Weak
2,Total Phosphorus (mg/L),Salinity (psu),-0.011887327753481763,0.011887327753481763,Very Weak
2,Total Nitrogen (mg/L),Ammonia Nitrogen (mg/L),0.18343678216367093,0.18343678216367093,Very Weak
2,Total Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),0.10068675602704999,0.10068675602704999,Very Weak
2,Total Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),0.6327871776175404,0.6327871776175404,Strong
2,Total Nitrogen (mg/L),Chlorophyll-a (μg/L),0.2279422692130472,0.2279422692130472,Weak
2,Total Nitrogen (mg/L),Dissolved Oxygen (%saturation),0.05349122133865976,0.05349122133865976,Very Weak
2,Total Nitrogen (mg/L),Dissolved Oxygen (mg/L),0.02021309879861151,0.02021309879861151,Very Weak
2,Total Nitrogen (mg/L),E. coli (cfu/100mL),0.044565031547698176,0.044565031547698176,Very Weak
2,Total Nitrogen (mg/L),Turbidity (NTU),-0.02779260109798841,0.02779260109798841,Very Weak
2,Total Nitrogen (mg/L),pH,-0.07100761964540292,0.07100761964540292,Very Weak
2,Total Nitrogen (mg/L),Temperature (°C),0.24788753181156875,0.24788753181156875,Weak
2,Total Nitrogen (mg/L),Salinity (psu),-0.5137273961137103,0.5137273961137103,Moderate
2,Ammonia Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),0.3331146185133218,0.3331146185133218,Weak
2,Ammonia Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),0.2547370240406332,0.2547370240406332,Weak
2,Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),-0.24123693488944845,0.24123693488944845,Weak
2,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),-0.16990037346307071,0.16990037346307071,Very Weak
2,Ammonia Nitrogen (mg/L),Dissolved Oxygen (mg/L),-0.09374588821888587,0.09374588821888587,Very Weak
2,Ammonia Nitrogen (mg/L),E. coli (cfu/100mL),0.13265496167912671,0.13265496167912671,Very Weak
2,Ammonia Nitrogen (mg/L),Turbidity (NTU),0.03582087717289488,0.03582087717289488,Very Weak
2,Ammonia Nitrogen (mg/L),pH,-0.19450477056423915,0.19450477056423915,Very Weak
2,Ammonia Nitrogen (mg/L),Temperature (°C),-0.19368491591247486,0.19368491591247486,Very Weak
2,Ammonia Nitrogen (mg/L),Salinity (psu),0.09338363449464174,0.09338363449464174,Very Weak
2,Orthophosphate Phosphorus (mg/L),Total Inorganic Nitrogen (mg/L),0.1606170352637551,0.1606170352637551,Very Weak
2,Orthophosphate Phosphorus (mg/L),Chlorophyll-a (μg/L),-0.3062167991710682,0.3062167991710682,Weak
2,Orthophosphate Phosphorus (mg/L),Dissolved Oxygen (%saturation),-0.17471901026064857,0.17471901026064857,Very Weak
2,Orthophosphate Phosphorus (mg/L),Dissolved Oxygen (mg/L),-0.12061640811697726,0.12061640811697726,Very Weak
2,Orthophosphate Phosphorus (mg/L),E. coli (cfu/100mL),0.0583846084808589,0.0583846084808589,Very Weak
2,Orthophosphate Phosphorus (mg/L),Turbidity (NTU),0.06357961331005893,0.06357961331005893,Very Weak
2,Orthophosphate Phosphorus (mg/L),pH,-0.06926000748786261,0.06926000748786261,Very Weak
2,Orthophosphate Phosphorus (mg/L),Temperature (°C),-0.10407351285902909,0.10407351285902909,Very Weak
2,Orthophosphate Phosphorus (mg/L),Salinity (psu),0.0032501472374685102,0.0032501472374685102,Very Weak
2,Total Inorganic Nitrogen (mg/L),Chlorophyll-a (μg/L),0.21068707720090402,0.21068707720090402,Weak
2,Total Inorganic Nitrogen (mg/L),Dissolved Oxygen (%saturation),0.004159988068928146,0.004159988068928146,Very Weak
2,Total Inorganic Nitrogen (mg/L),Dissolved Oxygen (mg/L),-0.046524881977040834,0.046524881977040834,Very Weak
2,Total Inorganic Nitrogen (mg/L),E. coli (cfu/100mL),0.04437069631554747,0.04437069631554747,Very Weak
2,Total Inorganic Nitrogen (mg/L),Turbidity (NTU),0.09402515189814456,0.09402515189814456,Very Weak
2,Total Inorganic Nitrogen (mg/L),pH,0.022014301277167633,0.022014301277167633,Very Weak
2,Total Inorganic Nitrogen (mg/L),Temperature (°C),0.35093270454973463,0.35093270454973463,Weak
2,Total Inorganic Nitrogen (mg/L),Salinity (psu),-0.7498620585277834,0.7498620585277834,Strong
2,Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),0.5106034571323115,0.5106034571323115,Moderate
2,Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),0.382612755879738,0.382612755879738,Weak
2,Chlorophyll-a (μg/L),E. coli (cfu/100mL),-0.03139511991004785,0.03139511991004785,Very Weak
2,Chlorophyll-a (μg/L),Turbidity (NTU),-0.044043846809938315,0.044043846809938315,Very Weak
2,Chlorophyll-a (μg/L),pH,0.2990213519775005,0.2990213519775005,Weak
2,Chlorophyll-a (μg/L),Temperature (°C),0.37106636991433933,0.37106636991433933,Weak
2,Chlorophyll-a (μg/L),Salinity (psu),-0.46142610162665293,0.46142610162665293,Moderate
2,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),0.9270507246815681,0.9270507246815681,Very Strong
2,Dissolved Oxygen (%saturation),E. coli (cfu/100mL),-0.07399219469645743,0.07399219469645743,Very Weak
2,Dissolved Oxygen (%saturation),Turbidity (NTU),-0.11979766947578387,0.11979766947578387,Very Weak
2,Dissolved Oxygen (%saturation),pH,0.3856310260549083,0.3856310260549083,Weak
2,Dissolved Oxygen (%saturation),Temperature (°C),0.16729375537989294,0.16729375537989294,Very Weak
2,Dissolved Oxygen (%saturation),Salinity (psu),-0.3047975201211917,0.3047975201211917,Weak
2,Dissolved Oxygen (mg/L),E. coli (cfu/100mL),-0.0753304739417277,0.0753304739417277,Very Weak
2,Dissolved Oxygen (mg/L),Turbidity (NTU),-0.137767173245233,0.137767173245233,Very Weak
2,Dissolved Oxygen (mg/L),pH,0.3389946623015781,0.3389946623015781,Weak
2,Dissolved Oxygen (mg/L),Temperature (°C),-0.16341644610022646,0.16341644610022646,Very Weak
2,Dissolved Oxygen (mg/L),Salinity (psu),-0.1807161768412408,0.1807161768412408,Very Weak
2,E. coli (cfu/100mL),Turbidity (NTU),0.02657911112898289,0.02657911112898289,Very Weak
2,E. coli (cfu/100mL),pH,-0.06419395129461337,0.06419395129461337,Very Weak
2,E. coli (cfu/100mL),Temperature (°C),0.009649264042270045,0.009649264042270045,Very Weak
2,E. coli (cfu/100mL),Salinity (psu),0.007779542720455041,0.007779542720455041,Very Weak
2,Turbidity (NTU),pH,-0.06539532311386767,0.06539532311386767,Very Weak
2,Turbidity (NTU),Temperature (°C),0.04209690047341226,0.04209690047341226,Very Weak
2,Turbidity (NTU),Salinity (psu),0.00425693699287794,0.00425693699287794,Very Weak
2,pH,Temperature (°C),0.1903210024600264,0.1903210024600264,Very Weak
2,pH,Salinity (psu),-0.2961416654526577,0.2961416654526577,Weak
2,Temperature (°C),Salinity (psu),-0.5587999966553566,0.5587999966553566,Moderate
3,5-day Biochemical Oxygen Demand (mg/L),Suspended Solids (mg/L),0.07214790643700321,0.07214790643700321,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Total Phosphorus (mg/L),0.18575956500252389,0.18575956500252389,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Total Nitrogen (mg/L),0.1720631922973329,0.1720631922973329,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),0.07540013055351603,0.07540013055351603,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Orthophosphate Phosphorus (mg/L),-0.014366121184700941,0.014366121184700941,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Total Inorganic Nitrogen (mg/L),-0.05773577277002857,0.05773577277002857,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Chlorophyll-a (μg/L),0.606854081333307,0.606854081333307,Strong
3,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (%saturation),0.2828369740118479,0.2828369740118479,Weak
3,5-day Biochemical Oxygen Demand (mg/L),Dissolved Oxygen (mg/L),0.25171887027995576,0.25171887027995576,Weak
3,5-day Biochemical Oxygen Demand (mg/L),E. coli (cfu/100mL),0.015872632757591154,0.015872632757591154,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Turbidity (NTU),-0.0022286154230912545,0.0022286154230912545,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),pH,0.08077695481458011,0.08077695481458011,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Temperature (°C),-0.007066603757822766,0.007066603757822766,Very Weak
3,5-day Biochemical Oxygen Demand (mg/L),Salinity (psu),-0.10772285593546738,0.10772285593546738,Very Weak
3,Suspended Solids (mg/L),Total Phosphorus (mg/L),0.011978800858942948,0.011978800858942948,Very Weak
3,Suspended Solids (mg/L),Total Nitrogen (mg/L),0.03192406909894628,0.03192406909894628,Very Weak
3,Suspended Solids (mg/L),Ammonia Nitrogen (mg/L),-0.0140386071841048,0.0140386071841048,Very Weak
3,Suspended Solids (mg/L),Orthophosphate Phosphorus (mg/L),-0.027437776511220927,0.027437776511220927,Very Weak
3,Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),-0.018866878755308174,0.018866878755308174,Very Weak
3,Suspended Solids (mg/L),Chlorophyll-a (μg/L),0.08644196665128663,0.08644196665128663,Very Weak
3,Suspended Solids (mg/L),Dissolved Oxygen (%saturation),-0.035991009069751737,0.035991009069751737,Very Weak
3,Suspended Solids (mg/L),Dissolved Oxygen (mg/L),-0.0004927785144738668,0.0004927785144738668,Very Weak
3,Suspended Solids (mg/L),E. coli (cfu/100mL),0.03553933951801959,0.03553933951801959,Very Weak
3,Suspended Solids (mg/L),Turbidity (NTU),0.023056604661356107,0.023056604661356107,Very Weak
3,Suspended Solids (mg/L),pH,-0.096822787231922,0.096822787231922,Very Weak
3,Suspended Solids (mg/L),Temperature (°C),-0.058681018541843655,0.058681018541843655,Very Weak
3,Suspended Solids (mg/L),Salinity (psu),0.012437965105195101,0.012437965105195101,Very Weak
3,Total Phosphorus (mg/L),Total Nitrogen (mg/L),0.0643260211878102,0.0643260211878102,Very Weak
3,Total Phosphorus (mg/L),Ammonia Nitrogen (mg/L),0.21861110993774907,0.21861110993774907,Weak
3,Total Phosphorus (mg/L),Orthophosphate Phosphorus (mg/L),0.2639192238259845,0.2639192238259845,Weak
3,Total Phosphorus (mg/L),Total Inorganic Nitrogen (mg/L),0.07598119676115592,0.07598119676115592,Very Weak
3,Total Phosphorus (mg/L),Chlorophyll-a (μg/L),-0.04762218903095128,0.04762218903095128,Very Weak
3,Total Phosphorus (mg/L),Dissolved Oxygen (%saturation),0.061735124257886395,0.061735124257886395,Very Weak
3,Total Phosphorus (mg/L),Dissolved Oxygen (mg/L),0.08123321727511916,0.08123321727511916,Very Weak
3,Total Phosphorus (mg/L),E. coli (cfu/100mL),0.023479759398145925,0.023479759398145925,Very Weak
3,Total Phosphorus (mg/L),Turbidity (NTU),-0.05265027462487962,0.05265027462487962,Very Weak
3,Total Phosphorus (mg/L),pH,0.032696937906330124,0.032696937906330124,Very Weak
3,Total Phosphorus (mg/L),Temperature (°C),-0.04808207900510047,0.04808207900510047,Very Weak
3,Total Phosphorus (mg/L),Salinity (psu),0.15836380338356626,0.15836380338356626,Very Weak
3,Total Nitrogen (mg/L),Ammonia Nitrogen (mg/L),0.17334174752437134,0.17334174752437134,Very Weak
3,Total Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),0.11135770095216653,0.11135770095216653,Very Weak
3,Total Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),0.19595822055490517,0.19595822055490517,Very Weak
3,Total Nitrogen (mg/L),Chlorophyll-a (μg/L),0.17656978084343117,0.17656978084343117,Very Weak
3,Total Nitrogen (mg/L),Dissolved Oxygen (%saturation),0.056098836570142745,0.056098836570142745,Very Weak
3,Total Nitrogen (mg/L),Dissolved Oxygen (mg/L),0.0679901082920416,0.0679901082920416,Very Weak
3,Total Nitrogen (mg/L),E. coli (cfu/100mL),0.06988265424977393,0.06988265424977393,Very Weak
3,Total Nitrogen (mg/L),Turbidity (NTU),-0.0019976277059044253,0.0019976277059044253,Very Weak
3,Total Nitrogen (mg/L),pH,-0.04397868617214724,0.04397868617214724,Very Weak
